,mouse,expDate,pumpTime (ms),-5,-4,-3,-2,-1,0,1,2,3,4
544,Mouse04391,061320,922714,4.915937900543213,4.666987895965576,2.1604082584381104,3.590134620666504,0.5098533630371094,2.136525869369507,1.935851812362671,0.7925485372543335,2.186040163040161,1.676957130432129
545,Mouse04384,061920,925259,4.993544101715088,6.015153884887695,5.140410900115967,3.940056324005127,4.159372806549072,3.2050867080688477,3.1374573707580566,4.500412940979004,4.698179721832275,4.1747941970825195
546,Mouse04391,060920,925568,0.9249640703201294,4.120882034301758,0.21704287827014923,4.6817193031311035,3.0412914752960205,3.944622278213501,4.8495988845825195,0.26851335167884827,1.5314184427261353,1.954177975654602
547,Mouse04394,062420,927258,4.6296706199646,4.085722923278809,4.166914939880371,4.421328544616699,5.546439170837402,5.4408040046691895,4.106865406036377,3.548877000808716,3.8069846630096436,5.186941623687744
548,Mouse04394,062220,927512,4.344878196716309,4.426919937133789,4.48385763168335,4.751714706420898,6.413893699645996,4.614526748657227,5.035854339599609,4.570823669433594,5.0631208419799805,3.5122783184051514
549,Mouse04383,062520,928895,5.148919582366943,3.2102763652801514,3.0499022006988525,5.063443183898926,5.432121753692627,2.9977569580078125,4.282012462615967,4.325414657592773,3.618122100830078,4.013937473297119
550,Mouse04393,053020,928951,5.494616508483887,4.6966962814331055,4.260263442993164,4.959247589111328,3.1433768272399902,3.6570932865142822,4.70231294631958,3.782766342163086,4.557144641876221,5.347275257110596
551,Mouse04394,062720,929366,4.162281036376953,3.9787049293518066,6.475616455078125,4.3738555908203125,4.489498138427734,3.5904719829559326,5.670929908752441,3.756981611251831,3.243523120880127,5.400002956390381
552,Mouse04384,061920,932541,4.964248180389404,4.34169864654541,5.115305423736572,5.328023910522461,5.348119258880615,5.351998329162598,4.85984468460083,4.070597171783447,4.302218914031982,5.259285926818848
553,Mouse04395,062620,932944,3.1313259601593018,4.146612167358398,3.6307289600372314,2.7830681800842285,4.136914253234863,4.350636005401611,4.444893836975098,2.6275930404663086,3.973900556564331,4.454115867614746
554,Mouse04394,062620,935439,5.264287948608398,5.296672344207764,6.106117248535156,6.070186614990234,5.49152135848999,5.817520618438721,3.861945867538452,4.459718704223633,5.305130958557129,2.6004514694213867
555,Mouse04391,062620,939613,3.443647623062134,2.9568097591400146,3.0294651985168457,4.122007369995117,3.122929573059082,3.66108775138855,5.7375712394714355,4.650833606719971,2.6395809650421143,3.521892786026001
556,Mouse04394,062220,940330,5.303843975067139,2.5767507553100586,4.259984493255615,6.462324619293213,3.965590476989746,8.881088256835938,3.975069046020508,4.851363658905029,3.8538501262664795,3.1813392639160156
557,Mouse04394,062720,940798,4.278789043426514,4.466013431549072,5.367569923400879,3.8773484230041504,3.8197336196899414,6.456508159637451,5.080642223358154,3.5648231506347656,4.0408525466918945,5.051994323730469
558,Mouse04383,062520,942407,4.359516620635986,4.019061088562012,4.464210510253906,4.444129943847656,3.8401448726654053,5.79986572265625,3.1220195293426514,4.003106117248535,3.626713514328003,5.187596797943115
559,Mouse04391,060920,943483,2.6620407104492188,0.1471238136291504,3.2963457107543945,4.344359397888184,1.179249882698059,3.553917169570923,5.071441650390625,4.013117790222168,3.4473671913146973,4.501597881317139
560,Mouse04391,061320,944623,1.4668411016464233,1.1759302616119385,0.699928343296051,1.621916651725769,1.4720158576965332,1.5994879007339478,2.541548252105713,5.277686595916748,0.6617134809494019,1.1941518783569336
561,Mouse04394,062620,945852,3.0507590770721436,6.783142566680908,4.7240471839904785,4.36124324798584,5.113926887512207,6.750913619995117,6.2015700340271,5.203522682189941,5.609812259674072,7.246391296386719
562,Mouse04393,053020,947695,4.6373419761657715,3.6238770484924316,4.959511756896973,4.296134948730469,6.754599571228027,4.357531547546387,3.7132246494293213,3.8669252395629883,6.304415702819824,3.4568428993225098
563,Mouse04384,062020,947940,4.100745677947998,5.760987281799316,3.215261459350586,3.786914348602295,3.9333670139312744,3.798788070678711,4.422791481018066,4.714480876922607,3.8754708766937256,6.166512489318848
564,Mouse04395,063020,949717,4.675419330596924,3.712289333343506,3.645780086517334,4.317739963531494,2.136868476867676,2.272592067718506,3.7862229347229004,3.6523122787475586,4.629532814025879,3.8790719509124756
565,Mouse04395,062820,950422,3.806762456893921,5.773683071136475,4.630956649780273,2.2838633060455322,6.136669158935547,3.879183053970337,5.238594055175781,1.3262708187103271,4.9780778884887695,3.8287417888641357
566,Mouse04384,071920,950797,4.573410987854004,5.433065414428711,4.09043025970459,4.589896202087402,3.6467700004577637,5.9294610023498535,3.903796672821045,4.758918762207031,3.996349573135376,2.546086311340332
567,Mouse04394,062720,951045,5.297519207000732,5.064140796661377,5.259603977203369,3.7740883827209473,5.6575398445129395,5.588702201843262,5.647148609161377,4.236001968383789,4.172550201416016,3.0765068531036377
568,Mouse04384,071820,951650,4.3023786544799805,4.822765350341797,4.104513168334961,4.148303985595703,3.609236001968384,3.6499738693237305,3.130159854888916,5.2090325355529785,4.9423651695251465,4.707427978515625
569,Mouse04391,062620,952490,2.1578285694122314,1.4947530031204224,2.599487543106079,1.2638221979141235,2.1035399436950684,2.278352975845337,1.7998251914978027,2.9925787448883057,2.9695053100585938,3.006082534790039
570,Mouse04383,062520,953737,3.6776788234710693,4.346585273742676,3.727548122406006,4.176785469055176,3.321122884750366,4.353193759918213,4.791759490966797,4.756129741668701,2.1414499282836914,4.603936195373535
571,Mouse04395,062920,955184,4.392420768737793,3.7548635005950928,4.478673458099365,4.32674503326416,4.0452470779418945,3.949240207672119,3.2603161334991455,3.588156223297119,4.922818660736084,3.5571341514587402
572,Mouse04391,060920,955210,4.099864959716797,4.516865253448486,3.6243090629577637,4.742185115814209,4.0044145584106445,5.112048149108887,4.111549377441406,4.123601913452148,3.2704763412475586,3.372109889984131
573,Mouse04384,062020,955303,3.9066593647003174,3.6872963905334473,4.511109352111816,4.449169158935547,4.4867987632751465,4.125655174255371,5.257567405700684,4.6448073387146,4.994793891906738,4.03294038772583
574,Mouse04395,062620,955842,4.075650691986084,3.9247500896453857,3.287585973739624,3.649336814880371,3.0686557292938232,4.297326564788818,3.98248553276062,2.9978554248809814,3.638394832611084,3.6433815956115723
575,Mouse04394,070220,956517,5.501102447509766,5.231481075286865,5.165098190307617,4.597538471221924,5.870347499847412,4.4353461265563965,4.940783500671387,5.057919502258301,5.556436061859131,7.314034938812256
576,Mouse04382,062320,957098,3.506376028060913,3.0931830406188965,4.245325565338135,2.812051773071289,2.4956347942352295,3.354703426361084,2.7697291374206543,3.0320160388946533,3.586381435394287,4.3135809898376465
577,Mouse04394,062620,958729,5.694597244262695,5.5164008140563965,4.724849700927734,5.493557929992676,3.871352434158325,5.503937244415283,4.402069568634033,6.94982385635376,3.1648290157318115,2.885125160217285
578,Mouse04394,062320,958936,5.114881992340088,4.731786727905273,4.776052474975586,4.5297112464904785,3.80608868598938,6.5377326011657715,3.6166629791259766,5.050708770751953,4.391622543334961,5.969790935516357
579,Mouse04395,063020,960614,2.391873598098755,2.0388100147247314,3.885789155960083,5.973682880401611,5.0991129875183105,3.5482637882232666,4.415977478027344,4.38463830947876,3.9930500984191895,3.780559778213501
580,Mouse04393,053020,960645,4.28865385055542,4.119996070861816,3.274569272994995,3.7332780361175537,4.840152740478516,3.292544364929199,5.970250606536865,3.790698528289795,3.2347464561462402,4.334887504577637
581,Mouse04394,062720,961693,4.59331750869751,5.741941928863525,5.052703380584717,5.059959888458252,4.538682460784912,9.112125396728516,4.2756476402282715,4.843700885772705,4.420293807983398,4.673609733581543
582,Mouse04384,062020,963344,4.823831558227539,3.76882266998291,4.601964950561523,2.313317060470581,4.479721546173096,4.462650299072266,3.949108362197876,3.0303285121917725,4.365318298339844,3.5687620639801025
583,Mouse04383,062520,963921,2.4741711616516113,3.8886055946350098,3.3882334232330322,4.235331058502197,5.14846134185791,2.74702787399292,4.916507720947266,3.6508755683898926,4.689164161682129,3.3820505142211914
584,Mouse04395,062720,964426,0.8879263401031494,1.6182587146759033,2.4977478981018066,3.8784019947052,2.525620460510254,4.135956764221191,2.5781493186950684,3.006671190261841,2.9019570350646973,4.801572322845459
585,Mouse04391,061320,965177,5.946540832519531,4.735401630401611,5.430354595184326,2.708030939102173,3.506155014038086,0.6043859720230103,4.097578525543213,3.5753026008605957,1.164273738861084,0.9851166605949402
586,Mouse04393,060120,965491,4.748936176300049,4.539261341094971,5.316286087036133,3.63263201713562,4.212998867034912,4.0094990730285645,4.182500839233398,6.855479717254639,3.8308305740356445,4.227058410644531
587,Mouse04394,062520,966658,4.838193416595459,3.925200939178467,4.758209705352783,5.0892767906188965,7.986543655395508,7.170008659362793,5.851023197174072,3.2882943153381348,7.697638034820557,3.973064422607422
588,Mouse04384,071820,967526,6.380722999572754,4.612941265106201,4.058304309844971,2.4218459129333496,4.25532341003418,4.726574897766113,3.96517276763916,4.418161869049072,3.3517820835113525,2.4141452312469482
589,Mouse04393,053020,970904,3.7703874111175537,5.427562713623047,4.95113468170166,5.602621078491211,5.293872356414795,4.3253984451293945,5.304990768432617,3.4563257694244385,4.000321388244629,4.452686786651611
590,Mouse04394,062720,972253,5.034359931945801,3.9177908897399902,5.988419532775879,4.679108619689941,3.806403160095215,6.339979648590088,3.947869300842285,3.669130802154541,4.4255290031433105,2.8264501094818115
