mouse,time,openArms,bxcx_n1_scores,bxcx_n2_scores,n1_scores,n2_scores
6.0,6,1.0,-6.589450864450794,-16.62678587324811,0.0745020322635135,0.22071566286486496
6.0,7,1.0,-6.576596188058607,-14.908513633483201,0.07468774764084507,0.23040023419718317
6.0,8,1.0,-6.5984170531700705,-15.166290381708775,0.07437294086805556,0.2288523814444445
6.0,9,1.0,-6.805057210584938,-16.52863997004851,0.07149605752083334,0.2212313352222223
6.0,10,1.0,-6.7226972407832095,-16.729337828982455,0.07262055182876712,0.22018127846575344
6.0,11,1.0,-6.799954391544293,-15.921734651795559,0.07156490022916667,0.22451600051388892
7.0,1,1.0,-5.751413361875632,-26.546031428047534,0.08840608042608696,0.18337942815652186
7.0,2,1.0,-5.819795077189064,-26.491708987287502,0.08711796342342341,0.18352888830630637
7.0,3,1.0,-5.773173292498199,-26.558783010802145,0.08799283054954957,0.1833444053423424
7.0,4,1.0,-5.738782971695273,-26.082504749167235,0.0886474035826087,0.18466853767826097
7.0,5,1.0,-5.702773437472984,-26.02017442456508,0.08934135765789475,0.18484429993859655
7.0,6,1.0,-5.730641725133868,-25.143386321175356,0.08880352523015869,0.18738005975396838
7.0,7,1.0,-5.766494857633375,-22.45840073351369,0.08811932691891891,0.19597258188288294
7.0,8,1.0,-5.797531552222148,-22.269015444050975,0.08753396303636365,0.1966318996272728
7.0,9,1.0,-5.870405144422439,-22.667832781217413,0.08618421807476635,0.19525234369158878
7.0,10,1.0,-5.71648049916062,-22.131303121328074,0.0890761614090909,0.1971161997272728
7.0,11,1.0,-5.671135432456354,-23.04213952406143,0.0899584158859649,0.1939876871052632
8.0,1,1.0,-4.864211128099614,-33.5324419003858,0.10840351904615382,0.16708208989230772
8.0,2,1.0,-4.8694837328563105,-32.80645747789753,0.1082634468461538,0.16854734969230772
8.0,3,1.0,-5.043830932844783,-37.150916421057566,0.1037929618333333,0.16038495283333337
8.0,4,1.0,-4.806241406558921,-32.75265482228969,0.10996325981538459,0.16865772809230772
