minute_net_1_scores,minute_net_2_scores,minute_time,minute_mouse,minute_flx,minute_expDate
0.0852424,0.14498697,1680,Mouse78732,0.0,040623
0.08871937,0.14278807,1740,Mouse78732,0.0,040623
0.08648782,0.14592491,1800,Mouse78732,0.0,040623
0.08711007,0.14478835,1860,Mouse78732,0.0,040623
0.08456365,0.1467954,1920,Mouse78732,0.0,040623
0.09814151,0.1718516,1980,Mouse78732,0.0,040623
0.08369929,0.14142272,2040,Mouse78732,0.0,040623
0.08518422,0.13401447,2100,Mouse78732,0.0,040623
0.09259065,0.14299338,2160,Mouse78732,0.0,040623
0.087068036,0.1397385,2220,Mouse78732,0.0,040623
0.09477963,0.14455521,2280,Mouse78732,0.0,040623
0.089744024,0.15154012,2340,Mouse78732,0.0,040623
0.094234005,0.15413442,2400,Mouse78732,0.0,040623
0.084990025,0.13887617,2460,Mouse78732,0.0,040623
0.090029076,0.15259098,2520,Mouse78732,0.0,040623
0.09499242,0.16548394,2580,Mouse78732,0.0,040623
0.089637645,0.15542209,2640,Mouse78732,0.0,040623
0.08601099,0.1594927,2700,Mouse78732,0.0,040623
0.07693153,0.15025502,2760,Mouse78732,0.0,040623
0.084588915,0.13678457,2820,Mouse78732,0.0,040623
0.09063168,0.14611594,2880,Mouse78732,0.0,040623
0.088265374,0.1349024,2940,Mouse78732,0.0,040623
0.09511354,0.14843489,3000,Mouse78732,0.0,040623
0.094960645,0.14856918,3060,Mouse78732,0.0,040623
0.08449483,0.1446137,3120,Mouse78732,0.0,040623
0.09062501,0.14870682,3180,Mouse78732,0.0,040623
0.09391441,0.14749974,3240,Mouse78732,0.0,040623
0.091916725,0.14692593,3300,Mouse78732,0.0,040623
0.09189195,0.1572852,3360,Mouse78732,0.0,040623
0.0940562,0.14519194,3420,Mouse78732,0.0,040623
0.09590597,0.14419948,3480,Mouse78732,0.0,040623
0.09551997,0.15138529,3540,Mouse78732,0.0,040623
0.0922687,0.16017215,0,Mouse78732,1.0,040623
0.08786719,0.15637429,60,Mouse78732,1.0,040623
0.098002516,0.16335511,120,Mouse78732,1.0,040623
0.10362437,0.16737454,180,Mouse78732,1.0,040623
0.10539547,0.161793,240,Mouse78732,1.0,040623
0.105234206,0.1778856,300,Mouse78732,1.0,040623
0.11039735,0.17034037,360,Mouse78732,1.0,040623
0.10344029,0.16969666,420,Mouse78732,1.0,040623
0.09943891,0.16642623,480,Mouse78732,1.0,040623
0.104624666,0.17292127,540,Mouse78732,1.0,040623
0.11048484,0.16850331,600,Mouse78732,1.0,040623
0.104999036,0.17445622,660,Mouse78732,1.0,040623
0.10263933,0.17879246,720,Mouse78732,1.0,040623
0.10384032,0.1676712,780,Mouse78732,1.0,040623
0.0975362,0.18139848,840,Mouse78732,1.0,040623
0.104155496,0.18821853,900,Mouse78732,1.0,040623
0.102513865,0.16232483,960,Mouse78732,1.0,040623
0.095470384,0.17374489,1020,Mouse78732,1.0,040623
0.09707149,0.17806567,1080,Mouse78732,1.0,040623
0.09421275,0.17708616,1140,Mouse78732,1.0,040623
0.0896646,0.17241047,1200,Mouse78732,1.0,040623
0.09610763,0.17243133,1260,Mouse78732,1.0,040623
0.09712977,0.1566791,1320,Mouse78732,1.0,040623
0.09809759,0.16728325,1380,Mouse78732,1.0,040623
0.09979071,0.16016696,1440,Mouse78732,1.0,040623
0.10668894,0.17079355,1500,Mouse78732,1.0,040623
