,mouse,interval 1 mean comp score,interval 2 mean comp score,interval 3 mean comp score,interval 1 mean net 1 score,interval 2 mean net 1 score,interval 3 mean net 1 score,interval 1 mean net 2 score,interval 2 mean net 2 score,interval 3 mean net 2 score,interval 1 mean net 3 score,interval 2 mean net 3 score,interval 3 mean net 3 score
20,Mouse3211,3.4995105,3.9321127,3.5590246,0.10144501,0.10403146,0.08854991,0.14817208,0.1723556,0.15859547,0.04882885,0.054414436,0.06544359
21,Mouse3212,3.3747187,3.6940334,3.5419497,0.12053263,0.121714555,0.10831804,0.1299391,0.14790827,0.14583738,0.0381347,0.04936683,0.06824792
22,Mouse3213,3.9716814,4.0216837,3.9229786,0.109575115,0.10556929,0.11319094,0.17197576,0.1772574,0.16645439,0.042808525,0.044430055,0.05378881
23,Mouse3214,3.5827231,3.8041804,4.069743,0.09208387,0.0965788,0.09841124,0.15844333,0.16940208,0.1833169,0.053862505,0.04654883,0.06811685
24,Mouse3215,2.9686713,3.2034028,3.4270325,0.12542096,0.13482659,0.1417447,0.10274604,0.11107212,0.120405786,0.037417606,0.042643398,0.042980127
25,Mouse3221,3.5715413,3.784066,3.9876688,0.1130541,0.121683806,0.116558895,0.14615537,0.15390468,0.16912726,0.03770169,0.03603077,0.03600691
26,Mouse3223,3.8758838,3.913822,4.01322,0.12916543,0.12806618,0.12581779,0.1547166,0.15715072,0.16404505,0.042942315,0.054165922,0.063103504
27,Mouse3224,3.82717,4.0328736,4.0257187,0.116861865,0.122652695,0.11337384,0.1592459,0.16800062,0.17289811,0.03779331,0.04195606,0.04481547
28,Mouse3231,3.2097492,3.4808402,3.511549,0.09851285,0.10188992,0.104031965,0.13236012,0.1464425,0.14739545,0.052424744,0.056859978,0.048343964
29,Mouse3233,3.2436438,4.1892133,3.8070796,0.085565954,0.09861778,0.09249864,0.14234573,0.19117956,0.17178261,0.044417754,0.049246233,0.050931495
30,Mouse3234,3.1550615,3.649382,3.757296,0.11427411,0.12956549,0.13167876,0.12006196,0.1407319,0.14562884,0.04688503,0.046752185,0.054444835
31,Mouse3235,3.781038,3.8837242,3.826666,0.106516734,0.107682884,0.10203951,0.16244788,0.16776547,0.16705705,0.040288728,0.04388347,0.057746027
32,Mouse3251,3.9506621,3.6858296,3.9448304,0.1059447,0.1019704,0.101852626,0.17275535,0.1591741,0.17469394,0.04493943,0.045689803,0.04759936
33,Mouse3252,2.4780107,3.8057365,4.0492997,0.074355945,0.106313124,0.1088462,0.10395203,0.16392592,0.17630179,0.022755269,0.043120325,0.06026218
34,Mouse3253,3.7822294,3.6449363,3.9462397,0.08065029,0.06916529,0.070475355,0.17591017,0.17500201,0.19149236,0.08186378,0.068511605,0.08719557
35,Mouse7181,3.2011085,3.764143,3.5586183,0.117537856,0.12851077,0.12467493,0.120909564,0.14788783,0.13767506,0.046812337,0.05473611,0.05795659
36,Mouse7182,4.2676005,4.536125,4.1834674,0.13687693,0.14205877,0.13415588,0.17338702,0.18633297,0.16948874,0.04968995,0.05233568,0.060081005
37,Mouse7183,3.2819183,3.1892004,2.9583702,0.080751844,0.07692023,0.06673686,0.14613849,0.14220336,0.13396434,0.075086646,0.08949545,0.09818513
38,Mouse7184,3.3987086,3.5841157,3.6056726,0.08174943,0.092807464,0.07739522,0.1533377,0.15805283,0.16708344,0.057092406,0.05499115,0.08531801
39,Mouse7185,3.414584,3.5705314,3.5179317,0.088315025,0.0930984,0.09235054,0.14977184,0.15700752,0.15428448,0.07233052,0.05636645,0.05654362
40,Mouse7191,3.8486245,4.3978896,4.099739,0.0832978,0.08630601,0.07602745,0.17923498,0.21041888,0.19826913,0.061166868,0.060961302,0.06801729
41,Mouse7192,3.5567355,4.0014424,3.6160624,0.100685805,0.10915459,0.0901547,0.152217,0.17356923,0.16153172,0.044982757,0.052914318,0.05488553
42,Mouse7193,3.7688515,4.0701814,3.934713,0.09733099,0.11215376,0.10093862,0.16679615,0.1761351,0.17418696,0.047590923,0.04818896,0.05767365
43,Mouse7194,3.6389928,3.6849325,3.5111256,0.12482209,0.122364394,0.10951947,0.14208172,0.14620592,0.14234963,0.065500796,0.06722356,0.089758255
44,Mouse7195,3.8753643,4.4145384,4.2129016,0.11426126,0.115297824,0.10400714,0.16234766,0.19387949,0.18805856,0.06813208,0.07265214,0.08095564
45,Mouse7202,3.942255,4.4056377,4.11054,0.09287291,0.1071517,0.092844725,0.17978083,0.1993552,0.18898158,0.048374925,0.04443639,0.06931671
46,Mouse7203,4.4192963,4.6286945,4.459807,0.07028328,0.078989655,0.06901015,0.22157797,0.22877136,0.22445601,0.05028993,0.056072377,0.057190698
47,Mouse7204,4.0424247,4.3667297,4.0609465,0.11732262,0.119136795,0.106892645,0.17104663,0.18958986,0.17815214,0.057117857,0.053458195,0.06016423
48,Mouse7221,3.581818,4.1634994,3.8701537,0.08841932,0.09432883,0.0814536,0.16079117,0.19245006,0.18216796,0.0481136,0.042487357,0.04829645
49,Mouse7222,3.7605755,3.416242,2.9174292,0.09017941,0.08953745,0.07892468,0.1707246,0.14980182,0.1266436,0.0424339,0.057381,0.04531054
