,Event Number,mouse,time,group,net 1,net 2,net 3,agg scores
885,Tone 7,Mouse9022,25,group 1,0.08151237666606903,0.12073671817779541,0.04617388918995857,2.84490966796875
886,Tone 7,Mouse9022,26,group 1,0.1550443470478058,0.20814648270606995,0.017551995813846588,5.001860618591309
887,Tone 7,Mouse9022,27,group 1,0.22405335307121277,0.35166409611701965,0.00560792675241828,8.06209945678711
888,Tone 7,Mouse9022,28,group 1,0.13817813992500305,0.22781908512115479,0.11547698825597763,5.23552131652832
889,Tone 7,Mouse9022,29,group 1,0.11875979602336884,0.15100827813148499,0.02429632470011711,3.698643684387207
890,Tone 7,Mouse9022,30,group 1,0.07453062385320663,0.057721562683582306,0.075965516269207,1.7473853826522827
891,Tone 7,Mouse9022,31,group 1,0.12526071071624756,0.12715879082679749,0.006300137843936682,3.351639747619629
892,Tone 7,Mouse9022,32,group 1,0.10517260432243347,0.17748022079467773,0.10115382820367813,4.062550067901611
893,Tone 7,Mouse9022,33,group 1,0.1970619559288025,0.2307053953409195,0.03179068863391876,5.79984712600708
894,Tone 7,Mouse9022,34,group 1,0.09631284326314926,0.1459086537361145,0.021941060200333595,3.3920514583587646
895,Tone 7,Mouse9022,35,group 1,0.1387980878353119,0.13578876852989197,0.03354865685105324,3.647839307785034
896,Tone 7,Mouse9022,36,group 1,0.07602398842573166,0.12307563424110413,0.029739944264292717,2.8182623386383057
897,Tone 7,Mouse9022,37,group 1,0.10610067844390869,0.14963917434215546,0.03591090440750122,3.560227155685425
898,Tone 7,Mouse9022,38,group 1,0.11441302299499512,0.17733432352542877,0.004494538530707359,4.080694675445557
899,Tone 7,Mouse9022,39,group 1,0.15297816693782806,0.26532384753227234,0.012972689233720303,5.931666374206543
900,Tone 7,Mouse9061,-10,group 2,0.09092585742473602,0.18318428099155426,0.06420482695102692,3.9913854598999023
901,Tone 7,Mouse9061,-9,group 2,0.10699908435344696,0.12574946880340576,0.02042916603386402,3.1594974994659424
902,Tone 7,Mouse9061,-8,group 2,0.04545767605304718,0.08709990978240967,0.006869944278150797,1.902484655380249
903,Tone 7,Mouse9061,-7,group 2,,,,
904,Tone 7,Mouse9061,-6,group 2,0.07890136539936066,0.12681488692760468,0.07681368291378021,2.942847728729248
905,Tone 7,Mouse9061,-5,group 2,0.12551249563694,0.28400668501853943,0.08485859632492065,6.0261688232421875
906,Tone 7,Mouse9061,-4,group 2,,,,
907,Tone 7,Mouse9061,-3,group 2,0.1154591292142868,0.23609492182731628,0.09153013676404953,5.13366174697876
908,Tone 7,Mouse9061,-2,group 2,0.09329494088888168,0.19500264525413513,0.06638993322849274,4.213226318359375
909,Tone 7,Mouse9061,-1,group 2,0.08647552132606506,0.15765944123268127,0.059162791818380356,3.5185556411743164
910,Tone 7,Mouse9061,0,group 2,0.09476245194673538,0.16216422617435455,0.01317255012691021,3.6415624618530273
911,Tone 7,Mouse9061,1,group 2,0.06501089036464691,0.15478944778442383,0.01645427942276001,3.229567289352417
912,Tone 7,Mouse9061,2,group 2,,,,
913,Tone 7,Mouse9061,3,group 2,0.11348721385002136,0.2172023206949234,0.04946110397577286,4.768903732299805
914,Tone 7,Mouse9061,4,group 2,0.09969628602266312,0.23197999596595764,0.039522163569927216,4.873034954071045
915,Tone 7,Mouse9061,5,group 2,0.046281617134809494,0.10504847764968872,0.05624760314822197,2.2455458641052246
916,Tone 7,Mouse9061,6,group 2,0.09413638710975647,0.18689259886741638,0.05296934396028519,4.076533794403076
917,Tone 7,Mouse9061,7,group 2,0.08874108642339706,0.12094885110855103,0.011900084093213081,2.894453525543213
918,Tone 7,Mouse9061,8,group 2,0.08136322349309921,0.12748655676841736,0.06498318165540695,2.9696011543273926
919,Tone 7,Mouse9061,9,group 2,0.0692928209900856,0.19680948555469513,0.05308179557323456,3.99863338470459
920,Tone 7,Mouse9061,10,group 2,0.06912442296743393,0.10275933146476746,0.027754807844758034,2.4105002880096436
