,mouse,expDate,social mean agg,social mean net 1,social mean net 2,social mean net 3,object mean agg,object mean net 1,object mean net 2,object mean net 3
7,Mouse0630,100417,4.104658126831055,0.12108128517866135,0.1736052930355072,0.033283479511737823,4.031355857849121,0.1195741593837738,0.17020919919013977,0.030635636299848557
8,Mouse0630,100617,4.300667762756348,0.12283987551927567,0.1845444142818451,0.028292261064052582,4.510495185852051,0.1264747679233551,0.19513580203056335,0.025013770908117294
9,Mouse0630,100917,4.056221008300781,0.11801566183567047,0.17252899706363678,0.032640617340803146,4.249225616455078,0.12094668298959732,0.18267622590065002,0.025874057784676552
10,Mouse0631,091517,3.5477428436279297,0.10297639667987823,0.14979636669158936,0.057330455631017685,3.5474936962127686,0.10371897369623184,0.14988432824611664,0.04490562900900841
11,Mouse0631,091817,3.638557195663452,0.10276688635349274,0.155442476272583,0.055567577481269836,3.7698216438293457,0.11186087876558304,0.1585390418767929,0.04252100735902786
12,Mouse0631,092017,3.475306272506714,0.10111657530069351,0.1467076689004898,0.05356909707188606,3.9265217781066895,0.11119194328784943,0.16816291213035583,0.046372950077056885
13,Mouse0631,092217,3.601801633834839,0.10816197842359543,0.15032106637954712,0.04975413903594017,3.9133174419403076,0.11095060408115387,0.16742785274982452,0.04833032190799713
14,Mouse0631,092517,2.862485647201538,0.07692413777112961,0.12435761094093323,0.049135103821754456,2.9285850524902344,0.07823973894119263,0.1275710165500641,0.048629846423864365
15,Mouse0631,092917,3.585148572921753,0.10169384628534317,0.1530843824148178,0.05061837658286095,3.551175832748413,0.09806254506111145,0.15293125808238983,0.05635078251361847
16,Mouse0631,100217,3.154829502105713,0.07919539511203766,0.14058898389339447,0.04839024320244789,3.324671983718872,0.0852832943201065,0.14765280485153198,0.037931643426418304
17,Mouse0632,091517,4.191661834716797,0.11267247051000595,0.18362461030483246,0.03646992892026901,4.265513896942139,0.1117515116930008,0.18885907530784607,0.03038131631910801
18,Mouse0632,091817,4.020357608795166,0.10810955613851547,0.17581918835639954,0.04135354608297348,4.050785541534424,0.11015882343053818,0.17652463912963867,0.03940921276807785
19,Mouse0632,092017,4.335516452789307,0.11046883463859558,0.1932079792022705,0.0442776195704937,4.688460826873779,0.11905751377344131,0.20963968336582184,0.03715203329920769
20,Mouse0632,092217,4.24399471282959,0.10779010504484177,0.18965178728103638,0.035998161882162094,4.589951992034912,0.11680413037538528,0.20545926690101624,0.0278422050178051
21,Mouse0632,092517,4.568413257598877,0.11602769047021866,0.2043328434228897,0.03454405814409256,4.513012409210205,0.11330638080835342,0.20258422195911407,0.03510885685682297
22,Mouse0632,092917,4.457244873046875,0.10896525532007217,0.2015208750963211,0.04130489006638527,4.5030198097229,0.11276443302631378,0.20222824811935425,0.03684018924832344
23,Mouse0632,100217,4.437180995941162,0.10812042653560638,0.20093528926372528,0.03850425034761429,4.758964538574219,0.11668525636196136,0.21565483510494232,0.02809154987335205
24,Mouse0632,100417,4.446807384490967,0.11151811480522156,0.1994161605834961,0.04082326963543892,4.17117166519165,0.10634458065032959,0.18591932952404022,0.04093152657151222
25,Mouse0632,100617,4.3998637199401855,0.08617445826530457,0.21149814128875732,0.04059681296348572,4.569177150726318,0.09260242432355881,0.2182130217552185,0.03284492343664169
26,Mouse0632,100917,4.649970054626465,0.0970979779958725,0.2198844701051712,0.045136142522096634,4.389229774475098,0.09898286312818527,0.20327109098434448,0.042100850492715836
27,Mouse0633,091517,4.454130172729492,0.13087543845176697,0.1890333741903305,0.028168095275759697,4.142407417297363,0.12413902580738068,0.17427454888820648,0.02863973192870617
28,Mouse0633,091817,3.8224780559539795,0.11814229190349579,0.158350870013237,0.03460073843598366,4.377809524536133,0.12983101606369019,0.18518441915512085,0.025520656257867813
29,Mouse0633,092017,3.8332152366638184,0.11784201115369797,0.15958097577095032,0.025157099589705467,3.8480703830718994,0.11591619998216629,0.16142569482326508,0.029247624799609184
30,Mouse0633,092217,3.7182390689849854,0.11517103761434555,0.15412171185016632,0.028213314712047577,3.833575487136841,0.11796599626541138,0.15947945415973663,0.026316339150071144
31,Mouse0633,092517,3.7116661071777344,0.11070288717746735,0.15630432963371277,0.029316559433937073,3.874925374984741,0.11528746038675308,0.1635650098323822,0.025575600564479828
32,Mouse0633,092917,3.6473357677459717,0.10528050363063812,0.1556306779384613,0.02933337911963463,3.866482973098755,0.11032301932573318,0.16590897738933563,0.027094777673482895
33,Mouse0633,100217,3.663439989089966,0.10829747468233109,0.15483501553535461,0.02908564731478691,3.9763071537017822,0.12056685984134674,0.16666337847709656,0.02282572165131569
34,Mouse0633,100417,3.7836248874664307,0.10833489149808884,0.1620302051305771,0.02887539379298687,3.66562557220459,0.10842441767454147,0.15496467053890228,0.027399295940995216
35,Mouse0633,100617,3.6797823905944824,0.10788130015134811,0.15616482496261597,0.026660682633519173,3.5811972618103027,0.10514827817678452,0.15165235102176666,0.031392861157655716
36,Mouse0633,100917,4.46706485748291,0.12185776978731155,0.19455881416797638,0.04078784957528114,4.437180995941162,0.12003952264785767,0.19403257966041565,0.03622470423579216
