mouse,mouse-name,time,openArms,bxcx_n1_scores,bxcx_n2_scores,n1_scores,n2_scores
7.0,Mouse6674,9.0,1.0,-5.870405144422439,-22.667832781217413,0.08618421807476635,0.19525234369158878
7.0,Mouse6674,10.0,1.0,-5.71648049916062,-22.131303121328074,0.0890761614090909,0.1971161997272728
7.0,Mouse6674,11.0,1.0,-5.671135432456354,-23.04213952406143,0.0899584158859649,0.1939876871052632
8.0,Mouse69061,7.0,1.0,-5.1319439171072,-40.11305410018719,0.10164705230645159,0.15554310114516126
8.0,Mouse69061,8.0,1.0,-5.024655926267583,-35.93691188410466,0.10426975795312501,0.1625271340625
8.0,Mouse69061,9.0,1.0,-4.887930195005617,-32.772122776784705,0.1077757149516129,0.16861775975806453
8.0,Mouse69061,10.0,1.0,-5.0362437002612195,-33.988277643244935,0.1039811958196721,0.16618436942622947
8.0,Mouse69061,11.0,1.0,-4.860207282627789,-31.077498989557885,0.10851008307936509,0.17222546198412694
9.0,Mouse69071,7.0,1.0,-4.400110323971535,-30.512164208328844,0.12200025615151519,0.17349021495454542
9.0,Mouse69071,8.0,1.0,-4.441010259200518,-30.370603024429634,0.12069269869841272,0.1738120042222222
9.0,Mouse69071,9.0,1.0,-4.444363775222593,-29.971170282534253,0.12058650332307695,0.17473128903076926
9.0,Mouse69071,10.0,1.0,-4.380269772653356,-31.653163629581478,0.12264290379999998,0.17096994627692308
9.0,Mouse69071,11.0,1.0,-4.423681514973797,-31.818781433968738,0.1212438866557377,0.17061458529508197
10.0,Mouse69075,7.0,1.0,-5.354303646018407,-45.78341813575302,0.09654222090697674,0.1475304722325581
10.0,Mouse69075,8.0,1.0,-5.439071735730439,-46.7051819268784,0.09470543325581397,0.1463580433023256
10.0,Mouse69075,9.0,1.0,-5.4514034913354354,-43.726544724004235,0.09444297835714285,0.1502692634047619
10.0,Mouse69075,10.0,1.0,-5.2724053152175125,-38.0382196824131,0.0983727165952381,0.15887979833333332
10.0,Mouse69075,11.0,1.0,-5.212097671091166,-40.559199682511995,0.09975716373809523,0.1548568421428571
11.0,Mouse8893,7.0,1.0,-5.4807028620930005,-35.82087769998629,0.09382414401408454,0.162737139028169
11.0,Mouse8893,8.0,1.0,-5.639032667993485,-36.635538350379996,0.09059168159154929,0.1612823213802817
11.0,Mouse8893,9.0,1.0,-5.610232111808881,-34.51625423021757,0.0911660243661972,0.16516522585915494
11.0,Mouse8893,10.0,1.0,-5.643204750186625,-35.90750632762117,0.09050897146478874,0.16258026470422535
11.0,Mouse8893,11.0,1.0,-5.497124442881844,-31.080846712793683,0.09348019145070426,0.17221806766197187
1.0,Mouse0641,7.0,0.0,-4.875142543806973,-39.832109873956476,0.10811344309782613,0.15598071581521736
1.0,Mouse0641,8.0,0.0,-4.77498373283187,-39.86831428183375,0.11081954785106382,0.15592408135106384
1.0,Mouse0641,9.0,0.0,-4.570627311307783,-33.696361170943874,0.11669641906172838,0.1667573291851852
1.0,Mouse0641,10.0,0.0,-4.62261040457393,-34.402768549398324,0.11515403239240501,0.16538245263291138
1.0,Mouse0641,11.0,0.0,-4.654747739041101,-33.21892464227222,0.11421705876315787,0.1677094140131579
2.0,Mouse39115,7.0,0.0,-4.82905705348262,-28.306230539406112,0.10934503340825684,0.1787540615963303
2.0,Mouse39115,8.0,0.0,-4.829766276582061,-28.834816188818795,0.10932590685321093,0.17744213967431188
2.0,Mouse39115,9.0,0.0,-4.9052403805271565,-29.858354801737946,0.10732128031192657,0.17499400961467887
2.0,Mouse39115,10.0,0.0,-4.974651756987869,-31.385389076444053,0.10553009978899079,0.1715499877798165
2.0,Mouse39115,11.0,0.0,-5.041694070065762,-32.08090250958414,0.10384591961467886,0.17005736920183484
3.0,Mouse39121,7.0,0.0,-3.683142116314092,-34.042983903578694,0.14929417429302336,0.16607775382790707
3.0,Mouse39121,8.0,0.0,-3.7102990765489023,-35.637675484125175,0.14808444415023483,0.1630706379859155
3.0,Mouse39121,9.0,0.0,-3.6899381640896074,-34.56530054916282,0.14898992891428578,0.1650716510952381
3.0,Mouse39121,10.0,0.0,-3.6888409900123813,-34.460361036933385,0.14903897864423082,0.16527208886057698
3.0,Mouse39121,11.0,0.0,-3.684568297397167,-34.424182091344576,0.14923024300000012,0.16534138820952385
4.0,Mouse39122,7.0,0.0,-6.954516664992816,-12.962770760922663,0.06952664286010365,0.2433962661139896
4.0,Mouse39122,8.0,0.0,-6.877014835574295,-12.757857274580605,0.07053666447150261,0.2449192915025906
4.0,Mouse39122,9.0,0.0,-6.919201554181644,-12.584429472888761,0.06998392983937826,0.24623454310880818
4.0,Mouse39122,10.0,0.0,-6.766938270702639,-12.344235043684789,0.07201295155440415,0.24809741823834192
4.0,Mouse39122,11.0,0.0,-6.677822417519876,-11.66862146801548,0.07324545255440416,0.2536127086528496
5.0,Mouse39132,7.0,0.0,-6.274353753357454,-18.857862612355856,0.07928209880981593,0.21001280871165648
5.0,Mouse39132,8.0,0.0,-6.318934462336134,-19.666340463170375,0.07857583512179489,0.2065550239423077
5.0,Mouse39132,9.0,0.0,-6.268813583366509,-20.316289961186275,0.07937059192452829,0.2039140060377358
5.0,Mouse39132,10.0,0.0,-6.152830492101503,-19.753165575857857,0.0812608699575757,0.206195314939394
5.0,Mouse39132,11.0,0.0,-6.18647233940743,-19.812906084156403,0.08070507359999998,0.20594907581249994
6.0,Mouse39135,7.0,0.0,-6.781037400290672,-18.5409132447244,0.07182105807643309,0.2114244752165606
6.0,Mouse39135,8.0,0.0,-6.7728357773298,-18.429979195336635,0.07193258297452225,0.2119264230127389
6.0,Mouse39135,9.0,0.0,-6.66668808621592,-17.68632822973053,0.07340186274193547,0.21540185725806454
6.0,Mouse39135,10.0,0.0,-6.690842286249549,-18.153288725396507,0.07306324412499998,0.21319666588815794
6.0,Mouse39135,11.0,0.0,-6.697367095820586,-17.78729110936243,0.0729722098782051,0.21491834294871795
7.0,Mouse6674,7.0,0.0,-5.78272968070913,-25.531084567108625,0.08781233765962435,0.18624396096713622
7.0,Mouse6674,8.0,0.0,-5.795426819519407,-25.732932307517956,0.08757345822985776,0.18566186547867308
7.0,Mouse6674,9.0,0.0,-5.7636488917743876,-25.239240425680528,0.08817332264608069,0.18709692979097395
7.0,Mouse6674,10.0,0.0,-5.784230953985921,-25.321161642574534,0.08778403782409637,0.18685612910120492
7.0,Mouse6674,11.0,0.0,-5.809232162306916,-25.531756831765133,0.08731493088564478,0.18624201172019467
8.0,Mouse69061,7.0,0.0,-4.737344535295738,-31.453824559969664,0.11186518857333336,0.17140109504444437
8.0,Mouse69061,8.0,0.0,-4.787237961287417,-32.864061303573855,0.11048255654424778,0.1684294509424778
8.0,Mouse69061,9.0,0.0,-4.871391767773771,-34.63011038349282,0.10821283071555558,0.16494828354222213
8.0,Mouse69061,10.0,0.0,-4.847965412069581,-34.369753435897124,0.10883696865044246,0.16544583475221225
8.0,Mouse69061,11.0,0.0,-4.877020041853359,-34.96343118182095,0.10806374932743361,0.164318820477876
9.0,Mouse69071,7.0,0.0,-4.439486525455616,-36.41198142795034,0.12074100103809526,0.16167704487142856
9.0,Mouse69071,8.0,0.0,-4.471564774239695,-36.38689980550064,0.11973073932367148,0.16172154017391302
9.0,Mouse69071,9.0,0.0,-4.468095055517016,-36.72516716246433,0.11983934679807695,0.16112500612980768
9.0,Mouse69071,10.0,0.0,-4.485716419370178,-35.95411882237603,0.1192894309569378,0.1624960721483253
9.0,Mouse69071,11.0,0.0,-4.503563421414045,-37.78899781193895,0.1187366599859155,0.159297597028169
10.0,Mouse69075,7.0,0.0,-5.388428320791394,-42.6765252201082,0.095795858445,0.15173750796999996
