scores,y_mouse,y_expDate,y_time,y_flx
5.9297976,Mouse99003,072321,2744,1
11.643672,Mouse99003,072321,2745,1
7.8680367,Mouse99003,072321,2746,1
6.9864044,Mouse99003,072321,2747,1
6.54846,Mouse99003,072321,2748,1
13.401534,Mouse99003,072321,2749,1
7.522565,Mouse99003,072321,2750,1
8.309552,Mouse99003,072321,2751,1
9.561145,Mouse99003,072321,2752,1
9.838414,Mouse99003,072321,2753,1
8.086448,Mouse99003,072321,2754,1
9.815868,Mouse99003,072321,2755,1
8.621308,Mouse99003,072321,2756,1
9.941201,Mouse99003,072321,2757,1
11.327448,Mouse99003,072321,2758,1
12.475729,Mouse99003,072321,2759,1
8.073161,Mouse99003,072321,2760,1
15.334236,Mouse99003,072321,2761,1
9.479171,Mouse99003,072321,2762,1
8.532648,Mouse99003,072321,2763,1
11.9954605,Mouse99003,072321,2764,1
4.913893,Mouse99003,072321,2765,1
11.761035,Mouse99003,072321,2766,1
8.315439,Mouse99003,072321,2767,1
11.602675,Mouse99003,072321,2768,1
10.556344,Mouse99003,072321,2769,1
12.176937,Mouse99003,072321,2770,1
11.546528,Mouse99003,072321,2771,1
9.104548,Mouse99003,072321,2772,1
11.751566,Mouse99003,072321,2773,1
6.2798734,Mouse99003,072321,2774,1
9.435016,Mouse99003,072321,2775,1
11.496513,Mouse99003,072321,2776,1
10.522914,Mouse99003,072321,2777,1
11.847541,Mouse99003,072321,2779,1
9.615176,Mouse99003,072321,2780,1
13.302554,Mouse99003,072321,2781,1
4.182951,Mouse99003,072321,2782,1
5.8348274,Mouse99003,072321,2783,1
9.593906,Mouse99003,072321,2784,1
5.993226,Mouse99003,072321,2785,1
6.147756,Mouse99003,072321,2786,1
6.9922457,Mouse99003,072321,2787,1
7.7848306,Mouse99003,072321,2788,1
11.155301,Mouse99003,072321,2789,1
4.6249504,Mouse99003,072321,2790,1
12.83918,Mouse99003,072321,2791,1
10.219952,Mouse99003,072321,2792,1
8.948561,Mouse99003,072321,2793,1
14.509289,Mouse99003,072321,2794,1
7.0846815,Mouse99003,072321,2795,1
11.124251,Mouse99003,072321,2796,1
11.657555,Mouse99003,072321,2797,1
9.377769,Mouse99003,072321,2798,1
11.870129,Mouse99003,072321,2799,1
13.066661,Mouse99003,072321,2800,1
6.196866,Mouse99003,072321,2801,1
9.268616,Mouse99003,072321,2802,1
12.289125,Mouse99003,072321,2803,1
9.994714,Mouse99003,072321,2804,1
5.8850155,Mouse99003,072321,2805,1
8.540842,Mouse99003,072321,2806,1
16.08282,Mouse99003,072321,2807,1
6.9144692,Mouse99003,072321,2808,1
8.979201,Mouse99003,072321,2809,1
8.176237,Mouse99003,072321,2810,1
11.474699,Mouse99003,072321,2811,1
9.713523,Mouse99003,072321,2812,1
4.5230236,Mouse99003,072321,2813,1
6.834145,Mouse99003,072321,2814,1
10.738815,Mouse99003,072321,2815,1
13.3670225,Mouse99003,072321,2816,1
12.758459,Mouse99003,072321,2817,1
13.944458,Mouse99003,072321,2818,1
10.347806,Mouse99003,072321,2819,1
10.349221,Mouse99003,072321,2820,1
9.77624,Mouse99003,072321,2821,1
14.132784,Mouse99003,072321,2822,1
11.962901,Mouse99003,072321,2823,1
11.908903,Mouse99003,072321,2824,1
8.091578,Mouse99003,072321,2825,1
8.120082,Mouse99003,072321,2826,1
12.413253,Mouse99003,072321,2827,1
6.554291,Mouse99003,072321,2828,1
11.571012,Mouse99003,072321,2829,1
9.5781,Mouse99003,072321,2830,1
11.406418,Mouse99003,072321,2831,1
8.537076,Mouse99003,072321,2832,1
12.514369,Mouse99003,072321,2833,1
14.485933,Mouse99003,072321,2834,1
4.5099783,Mouse99003,072321,2835,1
8.667671,Mouse99003,072321,2836,1
