mouse,mouse-name,time,openArms,bxcx_n1_scores,bxcx_n2_scores,n1_scores,n2_scores
8.0,Mouse69061,9.0,1.0,-4.980362635369531,-57.918284409170404,0.1077757149516129,0.16861775975806453
8.0,Mouse69061,10.0,1.0,-5.133302284775096,-60.406949764081055,0.1039811958196721,0.16618436942622947
8.0,Mouse69061,11.0,1.0,-4.951783358774693,-54.475149832979426,0.10851008307936509,0.17222546198412694
9.0,Mouse69071,7.0,1.0,-4.477871169457081,-53.33307904022371,0.12200025615151519,0.17349021495454542
9.0,Mouse69071,8.0,1.0,-4.519968136573311,-53.04762783661051,0.12069269869841272,0.1738120042222222
9.0,Mouse69071,9.0,1.0,-4.523420075907304,-52.243338653040055,0.12058650332307695,0.17473128903076926
9.0,Mouse69071,10.0,1.0,-4.457452177929419,-55.64150235193178,0.12264290379999998,0.17096994627692308
9.0,Mouse69071,11.0,1.0,-4.502131468940243,-55.97769085871493,0.1212438866557377,0.17061458529508197
10.0,Mouse69075,7.0,1.0,-5.461531036941363,-85.22934019349974,0.09654222090697674,0.1475304722325581
10.0,Mouse69075,8.0,1.0,-5.5490648653103305,-87.21664597959183,0.09470543325581397,0.1463580433023256
10.0,Mouse69075,9.0,1.0,-5.561800881857133,-80.81801462418264,0.09444297835714285,0.1502692634047619
10.0,Mouse69075,10.0,1.0,-5.376982570301961,-68.79519931576448,0.0983727165952381,0.15887979833333332
10.0,Mouse69075,11.0,1.0,-5.314737393258517,-74.0903736370931,0.09975716373809523,0.1548568421428571
11.0,Mouse8893,7.0,1.0,-5.592062683277021,-64.18390765577598,0.09382414401408454,0.162737139028169
11.0,Mouse8893,8.0,1.0,-5.755640041722102,-65.87295516966702,0.09059168159154929,0.1612823213802817
11.0,Mouse8893,9.0,1.0,-5.725879120711442,-61.49183850185859,0.0911660243661972,0.16516522585915494
11.0,Mouse8893,10.0,1.0,-5.759951456626319,-64.36322661363154,0.09050897146478874,0.16258026470422535
11.0,Mouse8893,11.0,1.0,-5.609024871109932,-54.4819227383365,0.09348019145070426,0.17221806766197187
1.0,Mouse0641,7.0,0.0,-4.967179642238777,-72.55760223911618,0.10811344309782613,0.15598071581521736
1.0,Mouse0641,8.0,0.0,-4.863943949178154,-72.63381914193947,0.11081954785106382,0.15592408135106384
1.0,Mouse0641,9.0,0.0,-4.653419390299528,-59.808271334864365,0.11669641906172838,0.1667573291851852
1.0,Mouse0641,10.0,0.0,-4.706957354819898,-61.258422307043425,0.11515403239240501,0.16538245263291138
1.0,Mouse0641,11.0,0.0,-4.7400608107717614,-58.83090629445251,0.11421705876315787,0.1677094140131579
2.0,Mouse39115,7.0,0.0,-4.919674069342335,-48.90947977805791,0.10934503340825684,0.1787540615963303
