,agg score,net 1 scores,net 2 scores,net 3 scores,mouse,roi,condition,in-task,time,expDate,hc_v_task auc,net 1 hc_v_task auc,net 2 hc_v_task auc,net 3 hc_v_task auc
1095,3.3466778,0.988867,1.1762094,-1.666165,Mouse67152,,CLOCK,0.0,211,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1096,1.7814794,0.716922,0.015827501,-0.1229224,Mouse67152,,CLOCK,0.0,212,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1097,2.2014692,0.7525689,0.44323298,-0.7713626,Mouse67152,,CLOCK,0.0,213,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1098,3.1487489,0.6531762,1.1692646,0.24781084,Mouse67152,,CLOCK,0.0,214,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1099,3.0376687,0.54443485,1.1458981,0.13435118,Mouse67152,,CLOCK,0.0,215,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1100,2.2510376,0.69206417,0.5052057,-0.04982885,Mouse67152,,CLOCK,0.0,216,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1101,1.5407926,0.15615155,0.15019836,-1.2227796,Mouse67152,,CLOCK,0.0,217,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1102,2.9204922,0.7887696,0.98540914,-0.8634362,Mouse67152,,CLOCK,0.0,218,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1103,2.625203,0.9377947,0.70283234,-1.7035649,Mouse67152,,CLOCK,0.0,219,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1104,3.2659788,1.0301765,1.092912,-0.3910101,Mouse67152,,CLOCK,0.0,220,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1105,3.3965733,1.0976523,1.1465082,-0.5540634,Mouse67152,,CLOCK,0.0,221,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1106,4.331383,1.4325825,1.5323488,-0.9462067,Mouse67152,,CLOCK,0.0,222,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1107,3.916438,1.129592,1.4331217,-0.40707648,Mouse67152,,CLOCK,0.0,223,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1108,2.742528,0.9186077,0.80070144,-1.3660322,Mouse67152,,CLOCK,0.0,224,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1109,4.235551,1.1232538,1.6116825,-1.229656,Mouse67152,,CLOCK,0.0,225,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1110,2.8932536,1.3548409,0.6619261,-1.5903926,Mouse67152,,CLOCK,0.0,226,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1111,3.8631449,1.6348941,1.1744171,-1.6521537,Mouse67152,,CLOCK,0.0,227,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1112,1.6189111,0.2519744,0.16947937,-0.7332639,Mouse67152,,CLOCK,0.0,228,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1113,3.4271636,0.56734735,1.3885003,-1.3598305,Mouse67152,,CLOCK,0.0,229,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1114,3.3666298,0.9452796,1.20339,-1.0542514,Mouse67152,,CLOCK,0.0,230,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1115,2.5592477,0.644908,0.78073543,-0.07914277,Mouse67152,,CLOCK,0.0,231,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1116,3.646794,1.1679931,1.2488163,0.29909652,Mouse67152,,CLOCK,0.0,232,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1117,2.6940749,0.6590545,0.8865291,-0.75664985,Mouse67152,,CLOCK,0.0,233,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1118,2.4556367,0.7659257,0.63229597,0.09082263,Mouse67152,,CLOCK,0.0,234,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1119,2.2502456,0.4848764,0.6378711,-1.161547,Mouse67152,,CLOCK,0.0,235,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1120,2.6252093,0.704729,0.8133767,-0.6616742,Mouse67152,,CLOCK,0.0,236,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1121,2.9864461,1.2532392,0.791206,-0.9730318,Mouse67152,,CLOCK,0.0,237,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1122,3.3254416,1.3051643,1.0000954,-0.8308635,Mouse67152,,CLOCK,0.0,238,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1123,3.3982666,1.1392167,1.1189419,-0.08308713,Mouse67152,,CLOCK,0.0,239,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
