,comp score,net 1 scores,net 2 scores,net 3 scores,flx,mouse,time,expDate,auc (last-30-minutes),net 1 auc (last-30-minutes),net 2 auc (last-30-minutes),net 3 auc (last-30-minutes)
31730,2.3818378,0.11096863,0.07709654,0.013079608,0.0,Mouse78751,1810,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31731,2.9362798,0.09129678,0.12218109,0.00671435,0.0,Mouse78751,1811,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31732,3.255036,0.10866514,0.12962183,0.040684454,0.0,Mouse78751,1812,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31733,3.0407994,0.1097912,0.11696393,0.021039156,0.0,Mouse78751,1813,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31734,4.4086003,0.16149175,0.16949825,0.0009623272,0.0,Mouse78751,1814,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31735,3.0212295,0.13209221,0.10246826,0.02614904,0.0,Mouse78751,1815,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31736,2.4192603,0.11104262,0.07975156,0.0026143552,0.0,Mouse78751,1816,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31737,2.4022245,0.09685691,0.08479347,0.054919854,0.0,Mouse78751,1817,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31738,3.614279,0.13154592,0.13842814,0.02451394,0.0,Mouse78751,1818,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31739,3.0880527,0.12030241,0.11350542,0.023757039,0.0,Mouse78751,1819,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31740,2.8428361,0.124151774,0.097049534,0.01195318,0.0,Mouse78751,1820,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31741,1.9863955,0.07304696,0.0745755,0.03798812,0.0,Mouse78751,1821,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31742,3.3667858,0.10877119,0.13512352,0.06691609,0.0,Mouse78751,1822,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31743,1.6089895,0.058381885,0.061134975,0.024628988,0.0,Mouse78751,1823,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31744,4.628625,0.13333078,0.19728784,0.045879543,0.0,Mouse78751,1824,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31745,4.156463,0.14028077,0.16522181,0.03817236,0.0,Mouse78751,1825,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31746,3.1612484,0.121811785,0.11448266,0.08197444,0.0,Mouse78751,1826,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31747,2.909024,0.08866811,0.121958315,0.0097627975,0.0,Mouse78751,1827,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31748,2.0628846,0.08252947,0.0732052,0.046917275,0.0,Mouse78751,1828,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31749,2.0819747,0.06755246,0.08285254,0.05372756,0.0,Mouse78751,1829,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31750,1.5479343,0.063801825,0.05337206,0.045770682,0.0,Mouse78751,1830,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31751,2.502189,0.11631433,0.078577526,0.07292932,0.0,Mouse78751,1831,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31752,2.0651073,0.07040812,0.080233105,0.05212184,0.0,Mouse78751,1832,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31753,3.3363645,0.10863821,0.1322448,0.093013465,0.0,Mouse78751,1833,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31754,1.7815877,0.08016676,0.059658825,0.002287653,0.0,Mouse78751,1834,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31755,3.7678847,0.15919143,0.13240096,0.0014636464,0.0,Mouse78751,1835,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31756,3.8246942,0.11168172,0.16346984,0.007152954,0.0,Mouse78751,1836,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31757,3.0536714,0.09509192,0.12719055,0.0021440177,0.0,Mouse78751,1837,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31758,4.24954,0.107478805,0.19037062,0.031310394,0.0,Mouse78751,1838,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31759,2.5116506,0.09332812,0.09392415,0.043511953,0.0,Mouse78751,1839,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31760,3.2079625,0.11388015,0.12544978,0.0011670381,0.0,Mouse78751,1840,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31761,2.9570644,0.12958978,0.100367606,0.019750187,0.0,Mouse78751,1841,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31762,2.2648225,0.08498222,0.08521931,0.015947644,0.0,Mouse78751,1842,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31763,3.8719707,0.1266029,0.15609495,0.040459525,0.0,Mouse78751,1843,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31764,2.669369,0.09548874,0.10209986,0.04383925,0.0,Mouse78751,1844,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31765,3.2455072,0.11533768,0.12489574,0.046099458,0.0,Mouse78751,1845,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31766,2.536842,0.1113638,0.08670037,0.00064297335,0.0,Mouse78751,1846,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31767,2.0602841,0.071542785,0.078692906,0.06559087,0.0,Mouse78751,1847,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31768,2.9550326,0.10097191,0.11727829,0.014643475,0.0,Mouse78751,1848,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31769,3.5614882,0.12379923,0.13767193,0.073851645,0.0,Mouse78751,1849,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
