mouse,mouse-name,time,openArms,bxcx_n1_scores,bxcx_n2_scores,n1_scores,n2_scores
7.0,Mouse6674,2.0,1.0,-5.877845601732774,-17.629120374411574,0.08711796342342341,0.18352888830630637
7.0,Mouse6674,3.0,1.0,-5.83047832129784,-17.668515656672017,0.08799283054954957,0.1833444053423424
7.0,Mouse6674,4.0,1.0,-5.795540070268321,-17.388507239035345,0.0886474035826087,0.18466853767826097
7.0,Mouse6674,5.0,1.0,-5.758958619356097,-17.351815676034263,0.08934135765789475,0.18484429993859655
8.0,Mouse69061,1.0,1.0,-4.907624995406894,-21.702425517396627,0.10840351904615382,0.16708208989230772
8.0,Mouse69061,2.0,1.0,-4.912974485051341,-21.28777324888864,0.1082634468461538,0.16854734969230772
8.0,Mouse69061,3.0,1.0,-5.089889156632608,-23.75291624198652,0.1037929618333333,0.16038495283333337
8.0,Mouse69061,4.0,1.0,-4.848812941854713,-21.256997969112945,0.10996325981538459,0.16865772809230772
8.0,Mouse69061,5.0,1.0,-4.968418572504938,-22.267094376244856,0.10682898303125,0.165149964859375
9.0,Mouse69071,1.0,1.0,-4.416122457338695,-21.700894071047003,0.1226654064927536,0.16708742769565216
9.0,Mouse69071,2.0,1.0,-4.501072925952331,-20.56491578447985,0.11998752592647056,0.17120196607352933
9.0,Mouse69071,3.0,1.0,-4.463791827506196,-21.30743647913174,0.12115081663636361,0.16847694519696974
9.0,Mouse69071,4.0,1.0,-4.522660746795271,-20.86621342728841,0.11932226008955224,0.1700794998358209
9.0,Mouse69071,5.0,1.0,-4.472736638174264,-21.008595414293737,0.12087002914925374,0.16955709849253733
10.0,Mouse69075,1.0,1.0,-5.539595589677865,-36.03637363632885,0.09369617362790698,0.1326715888604651
10.0,Mouse69075,2.0,1.0,-5.3930898621295436,-29.79164304650092,0.09680210600000001,0.1446962432380952
10.0,Mouse69075,3.0,1.0,-5.439776978347832,-29.843687865304496,0.09579423381395348,0.14458130130232555
10.0,Mouse69075,4.0,1.0,-5.284624153594688,-27.92225354298136,0.0992119121395349,0.14902678506976744
10.0,Mouse69075,5.0,1.0,-5.3811327686342025,-27.762286960018834,0.09706303104651162,0.14941670662790696
11.0,Mouse8893,1.0,1.0,-5.854968036099639,-26.50539219249666,0.08753872029411766,0.15259707842647063
11.0,Mouse8893,2.0,1.0,-5.709055967349302,-27.04979035498938,0.09030247698529416,0.1511934943529412
11.0,Mouse8893,3.0,1.0,-5.6057878834635995,-26.932541369143983,0.0923460790434783,0.15149233937681164
11.0,Mouse8893,4.0,1.0,-5.4795250025093125,-23.316041884970492,0.09494964157746484,0.16174070319718314
11.0,Mouse8893,5.0,1.0,-5.5347758744252875,-23.02143178690916,0.0937957415211268,0.1626757071690141
1.0,Mouse0641,1.0,0.0,-4.850956910442996,-26.063180627125828,0.10990575551612905,0.15376806074193547
1.0,Mouse0641,2.0,0.0,-4.955325056243566,-24.770191552478074,0.10716492113432839,0.1573622623582089
1.0,Mouse0641,3.0,0.0,-5.040895695323049,-25.753140942278822,0.10500027357971015,0.15460621336231886
1.0,Mouse0641,4.0,0.0,-5.1404151200877,-25.845637959721866,0.10257153554761908,0.15435464828571432
1.0,Mouse0641,5.0,0.0,-5.181708707283175,-25.68280758457185,0.10159068636666664,0.15479837007777777
2.0,Mouse39115,1.0,0.0,-5.121971780150196,-20.50662967817001,0.1030146461559633,0.17142182524770633
2.0,Mouse39115,2.0,0.0,-5.04076519776921,-19.996128940034524,0.10500352003211004,0.17338643049541283
2.0,Mouse39115,3.0,0.0,-5.047096427647781,-19.832855193023335,0.10484620428899079,0.17402996805963303
2.0,Mouse39115,4.0,0.0,-4.9968162988580165,-18.874453192626593,0.10610629013761465,0.17796617925229363
2.0,Mouse39115,5.0,0.0,-4.911310605012209,-18.18521807657142,0.10830698244495411,0.18097779021559635
3.0,Mouse39121,1.0,0.0,-3.7399392453046976,-20.880832182514556,0.14800152343750003,0.17002562878365393
