Unnamed: 0,agg score,net 1 scores,net 2 scores,net 3 scores,mouse,roi,condition,in-task,time,expDate,hc_v_task auc,net 1 hc_v_task auc,net 2 hc_v_task auc,net 3 hc_v_task auc
2985,3.404961,0.088720724,0.14896192,0.072203286,Mouse2401,1.0,CLOCK,1.0,761,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
2986,5.5790343,0.122135274,0.2595925,0.075207494,Mouse2401,1.0,CLOCK,1.0,762,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
2987,2.0667002,0.05848557,0.086385064,0.07395326,Mouse2401,1.0,CLOCK,1.0,763,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
2988,4.503287,0.09341092,0.21162668,0.08261957,Mouse2401,1.0,CLOCK,1.0,764,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
2998,2.350006,0.07341664,0.0958359,0.045591667,Mouse2401,3.0,CLOCK,1.0,775,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3006,3.8023708,0.09325105,0.17153087,0.040037543,Mouse2401,3.0,CLOCK,1.0,785,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3007,2.9889739,0.08650446,0.12661725,0.042190813,Mouse2401,3.0,CLOCK,1.0,786,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3008,5.488584,0.104444444,0.26508236,0.063166104,Mouse2401,3.0,CLOCK,1.0,787,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3009,3.5845025,0.0838849,0.16185847,0.08861533,Mouse2401,3.0,CLOCK,1.0,788,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3010,1.6963162,0.054822877,0.065607,0.09045323,Mouse2401,3.0,CLOCK,1.0,789,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3014,4.410929,0.102190286,0.1989557,0.12812829,Mouse2401,3.0,CLOCK,1.0,793,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3033,3.9881155,0.08552594,0.18535559,0.08274995,Mouse2401,1.0,CLOCK,1.0,812,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3034,4.2206078,0.10359563,0.19016734,0.04857677,Mouse2401,1.0,CLOCK,1.0,813,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3035,3.7177918,0.061259013,0.18262245,0.10062602,Mouse2401,1.0,CLOCK,1.0,814,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3036,4.291436,0.104400665,0.19309019,0.06821738,Mouse2401,1.0,CLOCK,1.0,815,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3039,2.8041623,0.06779848,0.124864325,0.080388084,Mouse2401,1.0,CLOCK,1.0,820,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3040,2.4064748,0.057368014,0.10757744,0.07031237,Mouse2401,1.0,CLOCK,1.0,821,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3041,4.1709404,0.06266124,0.21010204,0.07467959,Mouse2401,1.0,CLOCK,1.0,823,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3042,2.3864675,0.07477974,0.09699685,0.050779622,Mouse2401,1.0,CLOCK,1.0,824,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3052,2.5108533,0.055737913,0.11496525,0.06639061,Mouse2401,3.0,CLOCK,1.0,836,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3082,3.9391756,0.10640552,0.17090866,0.06538345,Mouse2401,3.0,CLOCK,1.0,867,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3083,6.0847816,0.11270266,0.29485577,0.08926285,Mouse2401,3.0,CLOCK,1.0,868,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3086,4.348691,0.09955901,0.20145987,0.020008985,Mouse2401,3.0,CLOCK,1.0,873,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3087,5.037897,0.1262464,0.22692339,0.024492517,Mouse2401,3.0,CLOCK,1.0,874,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3088,2.862672,0.03643753,0.14582907,0.102668054,Mouse2401,3.0,CLOCK,1.0,875,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3089,2.1667187,0.059627727,0.09171834,0.0738237,Mouse2401,3.0,CLOCK,1.0,876,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3090,3.5636282,0.09449187,0.15767272,0.012627814,Mouse2401,3.0,CLOCK,1.0,877,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3097,3.6578743,0.08120323,0.1696873,0.04590716,Mouse2401,1.0,CLOCK,1.0,884,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3098,2.847018,0.07390191,0.12603933,0.029912667,Mouse2401,1.0,CLOCK,1.0,885,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3101,2.7950754,0.071548015,0.12391138,0.03902676,Mouse2401,1.0,CLOCK,1.0,890,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3102,2.2141018,0.076105066,0.085409075,0.06164955,Mouse2401,1.0,CLOCK,1.0,891,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3108,2.1058724,0.08027413,0.07746453,0.038705617,Mouse2401,3.0,CLOCK,1.0,897,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3116,3.519467,0.08961978,0.1559038,0.058315996,Mouse2401,3.0,CLOCK,1.0,907,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3117,5.1542583,0.12179636,0.23436923,0.07397491,Mouse2401,3.0,CLOCK,1.0,908,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3123,1.6871731,0.042884436,0.07221197,0.08721865,Mouse2401,1.0,CLOCK,1.0,914,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3124,2.9284778,0.058555692,0.13949828,0.040085856,Mouse2401,1.0,CLOCK,1.0,915,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3126,1.5905035,0.048317153,0.064634524,0.05468454,Mouse2401,1.0,CLOCK,1.0,917,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3127,1.7879415,0.068891816,0.0641398,0.06044317,Mouse2401,1.0,CLOCK,1.0,918,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3136,3.5134618,0.10196505,0.14715543,0.08450319,Mouse2401,3.0,CLOCK,1.0,928,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3154,4.5213294,0.12520005,0.1940021,0.08337552,Mouse2401,1.0,CLOCK,1.0,947,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3155,2.76837,0.05251328,0.13339642,0.0412133,Mouse2401,1.0,CLOCK,1.0,948,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
