,Event Number,mouse,time,group,net 1,net 2,net 3,agg scores
586,Tone 3,Mouse9001,26,group 1,0.0690142959356308,0.17410194873809814,0.06510961055755615,3.6259891986846924
587,Tone 3,Mouse9001,27,group 1,0.07707221060991287,0.11387468874454498,0.044565461575984955,2.6858410835266113
588,Tone 3,Mouse9001,28,group 1,0.08280614763498306,0.09873326122760773,0.0737190991640091,2.5106310844421387
589,Tone 3,Mouse9001,29,group 1,0.14857016503810883,0.17739500105381012,0.021893927827477455,4.428849220275879
590,Tone 3,Mouse9001,30,group 1,0.041560616344213486,0.07300639897584915,0.09294629096984863,1.691596508026123
591,Tone 3,Mouse9001,31,group 1,0.0954383984208107,0.13033415377140045,0.04496100917458534,3.140456438064575
592,Tone 3,Mouse9001,32,group 1,0.09046875685453415,0.13770648837089539,0.05447818338871002,3.2215898036956787
593,Tone 3,Mouse9001,33,group 1,0.08601114898920059,0.08050180226564407,0.024687854573130608,2.2025656700134277
594,Tone 3,Mouse9001,34,group 1,0.0885467454791069,0.18015001714229584,0.0446903295814991,3.9033727645874023
595,Tone 3,Mouse9001,35,group 1,0.11422722041606903,0.1842581033706665,0.05426482856273651,4.230326175689697
596,Tone 3,Mouse9001,36,group 1,0.08810850232839584,0.13208132982254028,0.05791199207305908,3.1071643829345703
597,Tone 3,Mouse9001,37,group 1,0.11999884992837906,0.147903174161911,0.0461483895778656,3.6748151779174805
598,Tone 3,Mouse9001,38,group 1,0.09401221573352814,0.13826563954353333,0.09836063534021378,3.2973668575286865
599,Tone 3,Mouse9001,39,group 1,0.14792613685131073,0.16746240854263306,0.0032382875215262175,4.243432521820068
600,Tone 3,Mouse9002,-10,group 2,0.09763443470001221,0.16772426664829254,0.05004703626036644,3.7890753746032715
601,Tone 3,Mouse9002,-9,group 2,0.09975084662437439,0.21491749584674835,0.06865500658750534,4.6101508140563965
602,Tone 3,Mouse9002,-8,group 2,0.10870666056871414,0.2193606197834015,0.027183610945940018,4.741950511932373
603,Tone 3,Mouse9002,-7,group 2,0.08853939175605774,0.1474904865026474,0.023986132815480232,3.3437678813934326
604,Tone 3,Mouse9002,-6,group 2,0.0727548599243164,0.18732409179210663,0.042985908687114716,3.867082357406616
605,Tone 3,Mouse9002,-5,group 2,0.09303508698940277,0.1492307484149933,0.0534973070025444,3.4381680488586426
606,Tone 3,Mouse9002,-4,group 2,0.10586857050657272,0.14444434642791748,0.03490636497735977,3.4706103801727295
607,Tone 3,Mouse9002,-3,group 2,0.0677402913570404,0.1306295394897461,0.04016341269016266,2.870619058609009
608,Tone 3,Mouse9002,-2,group 2,0.08293867856264114,0.10592565685510635,0.024465806782245636,2.5962202548980713
609,Tone 3,Mouse9002,-1,group 2,0.08659353107213974,0.1878630518913269,0.06000581011176109,4.023926258087158
610,Tone 3,Mouse9002,0,group 2,0.09711945801973343,0.1334790289402008,0.04783160611987114,3.211435079574585
611,Tone 3,Mouse9002,1,group 2,0.12133675068616867,0.2455713152885437,0.0055073280818760395,5.287003517150879
612,Tone 3,Mouse9002,2,group 2,0.09850199520587921,0.17186154425144196,0.03598475828766823,3.8563830852508545
613,Tone 3,Mouse9002,3,group 2,0.09734788537025452,0.1689453423023224,0.06377075612545013,3.8165571689605713
614,Tone 3,Mouse9002,4,group 2,0.09354093670845032,0.18351642787456512,0.021602271124720573,3.991716146469116
615,Tone 3,Mouse9002,5,group 2,0.16496790945529938,0.23112758994102478,0.042032573372125626,5.499948024749756
616,Tone 3,Mouse9002,6,group 2,0.1000668928027153,0.22672471404075623,0.09620188921689987,4.830045223236084
617,Tone 3,Mouse9002,7,group 2,0.09164943546056747,0.19022813439369202,0.05260274559259415,4.107525825500488
618,Tone 3,Mouse9002,8,group 2,0.14153528213500977,0.28811371326446533,0.0564056821167469,6.2310004234313965
619,Tone 3,Mouse9002,9,group 2,0.11053527891635895,0.2758975923061371,0.0725172609090805,5.7353363037109375
620,Tone 3,Mouse9002,10,group 2,0.11715582758188248,0.20726191997528076,0.046193089336156845,4.6367292404174805
621,Tone 3,Mouse9002,11,group 2,0.10986311733722687,0.21680553257465363,0.02945117838680744,4.712315082550049
622,Tone 3,Mouse9002,12,group 2,0.07408393174409866,0.22278018295764923,0.10328587144613266,4.5149078369140625
623,Tone 3,Mouse9002,13,group 2,0.08060847222805023,0.19029642641544342,0.07281738519668579,4.0151472091674805
624,Tone 3,Mouse9002,14,group 2,0.08825545012950897,0.2693723142147064,0.07781930267810822,5.412149906158447
625,Tone 3,Mouse9002,15,group 2,0.08960013091564178,0.20318956673145294,0.045642443001270294,4.298532962799072
626,Tone 3,Mouse9002,16,group 2,0.08187427371740341,0.12523983418941498,0.020135516300797462,2.90470027923584
627,Tone 3,Mouse9002,17,group 2,0.09366695582866669,0.174250990152359,0.04971650242805481,3.8588008880615234
628,Tone 3,Mouse9002,18,group 2,0.10766326636075974,0.1066029816865921,0.039976682513952255,2.8609025478363037
629,Tone 3,Mouse9002,19,group 2,0.09686408191919327,0.19345203042030334,0.11357677727937698,4.256466865539551
