Predictors,net 1,net 2,net 3
Hipp 42,0.30411384,0.25385046,4.3589833e-05
Hipp 43,0.30789012,0.2488413,4.6984347e-05
Hipp 44,0.30963746,0.24315469,5.074586e-05
Hipp 45,0.30893856,0.23763497,5.480766e-05
Hipp 46,0.30568996,0.2329805,5.9075337e-05
Hipp 47,0.300616,0.22903077,6.347839e-05
Hipp 48,0.2945133,0.22469977,6.7994064e-05
Hipp 49,0.28837246,0.21893173,7.251826e-05
Hipp 50,0.28080922,0.21075407,7.673334e-05
Hipp 51,0.26457542,0.20003167,7.973475e-05
Hipp 52,0.23285674,0.18740508,8.021611e-05
Hipp 53,0.18528795,0.17447013,7.876646e-05
Hipp 54,0.12327132,0.16377217,7.805148e-05
Hipp 55,0.060794268,0.15838179,8.144257e-05
Hipp 56,0.005821508,0.15412937,9.281124e-05
IL_Cx 1,5.5081305e-06,0.062452175,3.020141e-06
IL_Cx 2,5.761906e-06,0.061140023,3.1251648e-06
IL_Cx 3,6.244421e-06,0.047465865,3.35763e-06
IL_Cx 4,6.729519e-06,0.013678924,0.052869543
IL_Cx 5,7.522213e-06,1.3136774e-05,0.109364875
IL_Cx 6,8.737389e-06,0.0034922475,0.17803821
IL_Cx 7,1.0339254e-05,0.035052877,0.2481093
IL_Cx 8,1.2600832e-05,0.07403204,0.30763745
IL_Cx 9,1.618838e-05,0.10068201,0.34520382
IL_Cx 10,0.051779933,0.11975224,0.34109455
IL_Cx 11,0.114805944,0.13132206,0.3038848
IL_Cx 12,0.14897591,0.14012904,0.25037274
IL_Cx 13,0.15170585,0.15703209,0.18453512
IL_Cx 14,0.12955889,0.1856494,0.12253204
IL_Cx 15,0.096478,0.22243282,0.060581494
IL_Cx 16,0.06356159,0.26414186,2.936663e-05
IL_Cx 17,0.040337097,0.29773155,3.0793562e-05
IL_Cx 18,0.025179675,0.32522777,3.2181142e-05
IL_Cx 19,0.018365039,0.34827703,3.3683667e-05
IL_Cx 20,0.0077413865,0.35383138,3.4903438e-05
IL_Cx 21,0.00070927676,0.36093298,3.6507558e-05
IL_Cx 22,7.4185475e-05,0.37373096,3.8453498e-05
IL_Cx 23,7.811577e-05,0.39021888,4.0966857e-05
IL_Cx 24,8.099202e-05,0.41014075,4.291363e-05
IL_Cx 25,8.27977e-05,0.43316033,4.4268174e-05
IL_Cx 26,8.424818e-05,0.45753005,4.543133e-05
IL_Cx 27,8.574603e-05,0.48008642,4.6569527e-05
IL_Cx 28,8.7825516e-05,0.49869582,4.7932554e-05
IL_Cx 29,9.115371e-05,0.51142704,4.9825732e-05
IL_Cx 30,9.6086434e-05,0.5185852,5.2472602e-05
IL_Cx 31,0.00010278075,0.5183444,5.599629e-05
IL_Cx 32,0.013286965,0.5045042,6.046456e-05
IL_Cx 33,0.037918027,0.47909933,6.582511e-05
IL_Cx 34,0.068280995,0.4490178,7.1542345e-05
IL_Cx 35,0.10122429,0.41843987,7.745311e-05
IL_Cx 36,0.13345475,0.39066213,8.346754e-05
IL_Cx 37,0.16136727,0.36618027,8.942246e-05
IL_Cx 38,0.18539299,0.34480596,9.506694e-05
IL_Cx 39,0.20238154,0.32630873,0.000100217396
IL_Cx 40,0.2118845,0.31121466,0.00010512073
IL_Cx 41,0.21889578,0.2957565,0.000110056215
IL_Cx 42,0.22114873,0.28507143,0.00011415903
IL_Cx 43,0.219969,0.27780363,0.00011745999
IL_Cx 44,0.21625541,0.27317324,0.000119998884
IL_Cx 45,0.21167202,0.27079242,0.000121882644
IL_Cx 46,0.20602496,0.26843014,0.0001230903
IL_Cx 47,0.2005802,0.26584086,0.00012391391
IL_Cx 48,0.19777133,0.26392427,0.00012493074
IL_Cx 49,0.19814803,0.26344392,0.00012559013
IL_Cx 50,0.19272882,0.2633149,0.00012454651
IL_Cx 51,0.1819585,0.26550898,0.00011995573
IL_Cx 52,0.16819914,0.2688694,0.00011069345
IL_Cx 53,0.15115109,0.26901606,9.940029e-05
IL_Cx 54,0.1279895,0.26572376,9.153326e-05
IL_Cx 55,0.1019902,0.25996026,8.9968096e-05
IL_Cx 56,0.074815385,0.2512333,9.87512e-05
Nac 1,5.8052788e-06,0.07515291,3.2399728e-06
Nac 2,0.024243828,0.043560565,3.3099668e-06
Nac 3,0.046962183,1.1180776e-05,0.028870173
Nac 4,0.035807185,1.1832849e-05,0.08239843
Nac 5,7.868803e-06,1.3715553e-05,0.15336569
Nac 6,9.374477e-06,1.6132843e-05,0.23078725
Nac 7,1.1226267e-05,0.027804105,0.30587465
Nac 8,1.3391592e-05,0.07827799,0.35997245
Nac 9,1.6964057e-05,0.105367295,0.3882878
Nac 10,0.0542916,0.12520888,0.37415963
Nac 11,0.118322015,0.14100254,0.32487124
Nac 12,0.161058,0.1540465,0.2608906
Nac 13,0.17501214,0.1770687,0.19939971
Nac 14,0.16327548,0.21024676,0.14487979
Nac 15,0.13157015,0.25481114,0.087434106
Nac 16,0.09333212,0.30435392,0.024150552
Nac 17,0.053024027,0.3429347,2.9667108e-05
Nac 18,0.0043522404,0.36286584,3.126393e-05
Nac 19,6.217597e-05,0.36157405,3.174477e-05
Nac 20,6.355844e-05,0.3576128,3.253322e-05
Nac 21,6.59761e-05,0.35796538,3.3956025e-05
Nac 22,6.889947e-05,0.3668383,3.5785215e-05
Nac 23,7.191023e-05,0.3797017,3.779121e-05
Nac 24,7.444596e-05,0.39842734,3.965842e-05
Nac 25,7.458592e-05,0.42256737,4.0073985e-05
Nac 26,7.392583e-05,0.449175,4.005797e-05
Nac 27,7.2953764e-05,0.4708725,3.977488e-05
Nac 28,7.248205e-05,0.4909915,3.9697108e-05
Nac 29,7.296055e-05,0.5091257,4.0108895e-05
Nac 30,7.473952e-05,0.52442795,4.1218784e-05
Nac 31,7.794214e-05,0.52963066,4.3063945e-05
Nac 32,8.334244e-05,0.52559084,4.607908e-05
Nac 33,9.1343834e-05,0.5139506,5.04486e-05
Nac 34,0.00012264795,0.49817196,5.572467e-05
Nac 35,0.047713403,0.459972,5.9450827e-05
Nac 36,0.09677946,0.42137682,6.341217e-05
Nac 37,0.14548065,0.38439423,6.763337e-05
Nac 38,0.18557365,0.34858224,7.188773e-05
Nac 39,0.21083426,0.3176303,7.637808e-05
Nac 40,0.22988833,0.2920698,8.108461e-05
Nac 41,0.24217784,0.26838052,8.611424e-05
Nac 42,0.24796902,0.2488655,9.077711e-05
Nac 43,0.2502649,0.234752,9.483999e-05
Nac 44,0.25130913,0.22462924,9.8351105e-05
Nac 45,0.25140095,0.21773933,0.00010134607
Nac 46,0.25141215,0.21310516,0.00010383239
Nac 47,0.25288135,0.20952837,0.00010588671
Nac 48,0.25721928,0.20662512,0.00010759504
Nac 49,0.2610519,0.2035664,0.00010856655
Nac 50,0.255388,0.19964495,0.00010800732
Nac 51,0.24502759,0.19972692,0.00010439005
Nac 52,0.2270978,0.20448694,9.689187e-05
Nac 53,0.20276281,0.2104534,8.804842e-05
Nac 54,0.17722674,0.21479034,8.1779406e-05
Nac 55,0.15454115,0.21689399,8.121237e-05
Nac 56,0.13206796,0.21731764,8.9620866e-05
PrL_Cx 1,5.1192087e-06,0.09248112,2.8187583e-06
PrL_Cx 2,5.2910505e-06,0.10277073,2.8874294e-06
PrL_Cx 3,5.673032e-06,0.09758935,3.068845e-06
PrL_Cx 4,6.1766386e-06,0.06913548,0.039895654
PrL_Cx 5,7.1405943e-06,0.041060213,0.10172211
PrL_Cx 6,8.4624e-06,0.036110375,0.1731121
PrL_Cx 7,1.0206597e-05,0.05374168,0.24468586
PrL_Cx 8,1.2563311e-05,0.082608856,0.30267736
PrL_Cx 9,0.0026805047,0.112201504,0.3347107
PrL_Cx 10,0.084717445,0.13034262,0.31461465
PrL_Cx 11,0.14787889,0.14347494,0.27361673
PrL_Cx 12,0.17841701,0.151059,0.22315264
PrL_Cx 13,0.17541276,0.16085662,0.17131534
PrL_Cx 14,0.14371632,0.17755182,0.120768726
PrL_Cx 15,0.09369516,0.2017383,0.07102417
PrL_Cx 16,0.044765327,0.23145247,0.016513614
PrL_Cx 17,0.009001747,0.25844577,3.4608984e-05
PrL_Cx 18,7.1634546e-05,0.27613175,3.593715e-05
PrL_Cx 19,7.496527e-05,0.29193974,3.756428e-05
PrL_Cx 20,7.937163e-05,0.30892938,3.9793926e-05
PrL_Cx 21,8.456724e-05,0.32560426,4.2534608e-05
PrL_Cx 22,8.90177e-05,0.33542258,4.510349e-05
PrL_Cx 23,9.424651e-05,0.34997934,4.825554e-05
PrL_Cx 24,9.86811e-05,0.37052009,5.1082247e-05
PrL_Cx 25,0.0001011464,0.39457962,5.2841042e-05
PrL_Cx 26,0.00010301687,0.41969255,5.4292916e-05
PrL_Cx 27,0.000104941384,0.44227347,5.570893e-05
PrL_Cx 28,0.000107738575,0.45950437,5.7471945e-05
PrL_Cx 29,0.00011218692,0.4697315,5.9959737e-05
PrL_Cx 30,0.023174938,0.4622561,6.2239444e-05
PrL_Cx 31,0.06910054,0.43826184,6.413315e-05
PrL_Cx 32,0.10425028,0.41174188,6.810433e-05
PrL_Cx 33,0.14056915,0.38138774,7.272057e-05
PrL_Cx 34,0.17947723,0.35006905,7.7359866e-05
PrL_Cx 35,0.2172635,0.3208296,8.186171e-05
PrL_Cx 36,0.24957617,0.29471913,8.597839e-05
PrL_Cx 37,0.27763352,0.27371293,8.998053e-05
PrL_Cx 38,0.30209354,0.25727838,9.376317e-05
PrL_Cx 39,0.32029027,0.2440008,9.713833e-05
PrL_Cx 40,0.3339071,0.23135224,0.000100443984
PrL_Cx 41,0.34418136,0.2197916,0.00010352191
PrL_Cx 42,0.35029337,0.21125624,0.00010612346
PrL_Cx 43,0.35306957,0.20551032,0.00010819178
PrL_Cx 44,0.3532684,0.20230085,0.00010978671
PrL_Cx 45,0.35148942,0.20106313,0.00011109218
PrL_Cx 46,0.3483145,0.20096572,0.000112298716
PrL_Cx 47,0.34496775,0.20105143,0.000113768576
PrL_Cx 48,0.34268907,0.20133981,0.00011550188
PrL_Cx 49,0.3418528,0.2035474,0.00011649642
PrL_Cx 50,0.33560473,0.20495026,0.0001154336
PrL_Cx 51,0.3222596,0.20506477,0.00011032876
PrL_Cx 52,0.3050714,0.2043079,0.000100585814
PrL_Cx 53,0.28649095,0.20161085,8.910159e-05
PrL_Cx 54,0.26826668,0.19776158,8.030795e-05
PrL_Cx 55,0.25090536,0.19146088,7.7469966e-05
PrL_Cx 56,0.23743239,0.1851266,8.3153216e-05
Thal 1,6.488055e-06,0.12514473,0.018731833
Thal 2,0.032352418,0.11417768,0.06671385
Thal 3,0.06676575,0.08083624,0.110314645
Thal 4,0.08883035,0.033790886,0.1574075
Thal 5,0.10566666,1.2605694e-05,0.20723331
Thal 6,0.1303569,1.3142714e-05,0.2446047
Thal 7,0.16937056,1.3854513e-05,0.26054162
Thal 8,0.212014,1.5184513e-05,0.25369167
Thal 9,0.25281194,1.7534669e-05,0.22776671
Thal 10,0.29493263,2.1424903e-05,0.1858379
Thal 11,0.3222416,2.8039964e-05,0.14991535
Thal 12,0.33126518,3.8547587e-05,0.12698042
Thal 13,0.31251076,0.03611695,0.10377297
Thal 14,0.27411562,0.08430469,0.07682996
Thal 15,0.23269145,0.13251957,0.047714323
Thal 16,0.19646615,0.17966881,0.013772026
Thal 17,0.16628736,0.22339748,3.157088e-05
Thal 18,0.13876398,0.2620631,3.2978915e-05
Thal 19,0.118453704,0.29612422,3.411419e-05
Thal 20,0.103155546,0.3246501,3.5233796e-05
Thal 21,0.09343122,0.34509617,3.643943e-05
Thal 22,0.088571616,0.35860252,3.762462e-05
Thal 23,0.08814608,0.36819547,3.870706e-05
Thal 24,0.08405274,0.3782643,3.9182618e-05
Thal 25,0.08052282,0.3859936,3.8986618e-05
Thal 26,0.080231145,0.39230382,3.871077e-05
Thal 27,0.080301,0.3979795,3.8650942e-05
Thal 28,0.08264567,0.40251562,3.8989372e-05
Thal 29,0.08901722,0.40518278,3.9800252e-05
Thal 30,0.099893354,0.40536144,4.1127532e-05
Thal 31,0.11225169,0.40267712,4.301996e-05
Thal 32,0.12128887,0.39662033,4.5988178e-05
Thal 33,0.13453943,0.3847488,4.9434813e-05
Thal 34,0.15178455,0.36681083,5.2846233e-05
Thal 35,0.17115304,0.34642375,5.6179728e-05
Thal 36,0.19185542,0.32694674,5.947016e-05
Thal 37,0.21190998,0.30972302,6.27384e-05
Thal 38,0.22866932,0.29501805,6.592906e-05
Thal 39,0.24134454,0.2832429,6.913957e-05
Thal 40,0.25039598,0.27263662,7.2385395e-05
Thal 41,0.2550032,0.26131508,7.561445e-05
Thal 42,0.25739977,0.24917442,7.915063e-05
Thal 43,0.25799793,0.2388935,8.2584564e-05
Thal 44,0.25739393,0.23074843,8.5844986e-05
Thal 45,0.25546083,0.2247475,8.887994e-05
Thal 46,0.25275904,0.21984549,9.166223e-05
Thal 47,0.24856053,0.21598886,9.410085e-05
Thal 48,0.23914704,0.21249636,9.618501e-05
Thal 49,0.2291106,0.2106556,9.750802e-05
Thal 50,0.21712953,0.21163839,9.696295e-05
Thal 51,0.19274034,0.21813904,9.273447e-05
Thal 52,0.15421641,0.23230086,8.42064e-05
Thal 53,0.11009854,0.25004175,7.369974e-05
Thal 54,0.06463223,0.25416896,6.463086e-05
Thal 55,0.018570583,0.2577717,6.124507e-05
Thal 56,0.000117583986,0.2561785,6.426629e-05
VTA 1,0.06513675,9.530791e-06,2.9390687e-06
VTA 2,0.10459144,9.36849e-06,0.046652075
VTA 3,0.12389169,9.609619e-06,0.09595691
VTA 4,0.13988172,1.05344525e-05,0.14018364
VTA 5,0.14241035,0.030819325,0.178414
VTA 6,0.14410155,0.08337088,0.2085799
VTA 7,0.1529254,0.13604313,0.22284158
VTA 8,0.16754997,0.17677683,0.21834858
VTA 9,0.18748815,0.2089238,0.20034075
VTA 10,0.2052115,0.22717604,0.16900174
VTA 11,0.21804269,0.23647732,0.13956326
VTA 12,0.2223019,0.24023823,0.11736942
VTA 13,0.21497189,0.2463399,0.097180955
VTA 14,0.19564053,0.26089928,0.073797055
